" Ноутбук Dell 5470 Intel Celeron N4100 (1.10-2.40GHz), 4GB DDR4, 256GB SSD+16GB eMMC, UHD Graphics 600, 14""FHD (1920x1080) Touch LED, WiFi ac, BT 5.0, WC, CR, DOS, Backlit Русская клавиатура, Black https://www.link.kg/catalog/1/41499781",*  28354.2 ⊆   *,314 $
" Ноутбук Asus X540UB (i3-7020U (3.1 Ghz)15.6"", 6GB, 1TB, GT MX110 2GB,15.6, WF, WC,DOS) https://www.link.kg/catalog/1/41440475",*  27902.7 ⊆   *,309 $
" Lenovo Ideapad S145-15API Silver AMD 3020e (up to 2.6Ghz), 8GB, 240GB SSD, AMD Radeon™ Graphics, 15.6"" LED, WiFi, BT, Cam, DOS, Eng-Rus https://www.link.kg/catalog/1/41374235",*  28444.5 ⊆   *,315 $
" Acer Aspire A315-34 Black Intel N4020 (up to 2.8Ghz), 4GB, 512GB M.2 NVMe PCIe, Intel HD Graphics, 15.6"" LED FULL HD (1920x1080), WiFi, LAN RJ45, BT, Cam, DOS, Eng-Rus https://www.link.kg/catalog/1/41375136",*  28444.5 ⊆   *,315 $
" HP 250 G8 Black Intel Dual Core N4020 (up to 2.8Ghz), 8GB, 500GB, Intel HD Graphics, 15.6"" LED HD, WiFi, BT, Cam, DOS, Eng-Rus https://www.link.kg/catalog/1/41374372",*  28444.5 ⊆   *,315 $
" HP 250 G8 Black Intel Dual Core N4020 (up to 2.8Ghz), 4GB, 500GB + 128GB SSD, Intel HD Graphics, 15.6"" LED HD, WiFi, BT, Cam, DOS, Eng-Rus https://www.link.kg/catalog/1/41374359",*  28444.5 ⊆   *,315 $
" Lenovo IP3 i3-10110U 2.1-4.1GHz, 4GB, 1TB, 15.6""HD RUS, HDMI, BLACK https://www.link.kg/catalog/1/41503200",*  27993 ⊆   *,310 $
" Lenovo V15 i3-10110U 2.1-4.1GHz,4GB,SSD 120GB,15.6""FHD,RUS,DOS HDMI, IRON GRAY https://www.link.kg/catalog/1/41503167",*  27993 ⊆   *,310 $
" Lenovo V15 i3-10110U 2.1-4.1 GHz,8GB,1TB,15.6""HD,RUS,DOS HDMI, IRON GRAY https://www.link.kg/catalog/1/41503174",*  28083.3 ⊆   *,311 $
" HP 250 G8 Black Intel Dual Core N4020 (up to 2.8Ghz), 4GB, 1TB + 128GB SSD, Intel HD Graphics, 15.6"" LED HD, WiFi, BT, Cam, DOS, Eng-Rus https://www.link.kg/catalog/1/41374360",*  28625.1 ⊆   *,317 $
" Acer Aspire 3 A315-56 i3-1005G1 1.2-3.4GHz,4GB,SSD 256GB, 15.6""FHD LED ,RUS,BLACK (12мес) https://www.link.kg/catalog/1/41503257",*  28173.6 ⊆   *,312 $
" Lenovo IP3 i3-10110U 2.1-4.1GHz, 8GB, 1TB, 15.6""FHD RUS, HDMI, ABYSS BLUE https://www.link.kg/catalog/1/41503196",*  28354.2 ⊆   *,314 $
" Lenovo Ideapad 3 Silver Intel Dual Core N4020 (up to 2.8Ghz), 4GB, 1TB + 256GB M.2 NVMe PCIe, Intel HD Graphics, 15.6"" LED, WiFi, BT, Cam, DOS, Eng-Rus https://www.link.kg/catalog/1/41374247",*  28896 ⊆   *,320 $
" Lenovo IP3 i3-10110U 2.1-4.1GHz, 4GB, 1TB, 15.6""FHD RUS, HDMI, BLACK https://www.link.kg/catalog/1/41503199",*  28444.5 ⊆   *,315 $
" Ноутбук Lenovo Ideapad 3-15IML05 Intel Core i3-10110U (up to 4.1Ghz), 15.6"" FHD (1920х1080), 4GB, 500GB SSD, Integrated Intel® UHD Graphic, WiFi, BT 5.0, Cam, PLATINUM GRAY [81WB00YWUE](*id 12) https://www.link.kg/catalog/1/41493154",*  28444.5 ⊆   *,315 $
" Lenovo Ideapad S145-15API Silver AMD 3020e (up to 2.6Ghz), 4GB, 1TB + 256GB SSD M.2 NVMe PCIe, AMD Radeon™ Graphics, 15.6"" LED, WiFi, BT, Cam, DOS, Eng-Rus https://www.link.kg/catalog/1/41374225",*  29076.6 ⊆   *,322 $
" Ноутбук Lenovo Ideapad 3-15IML05 Intel Core i3-10110U (up to 4.1Ghz), 15.6"" FHD (1920х1080), 8GB, 1TB, Integrated Intel® UHD Graphic, WiFi, BT 5.0, Cam, PLATINUM GRAY [81WB00YWUE](*id 12) https://www.link.kg/catalog/1/41493148",*  28534.8 ⊆   *,316 $
" Ноутбук Acer Aspire Black Intel Core i3-1005G1 (up to 3.4Ghz), 4GB, 256GB M.2 NVMe PCIe, Intel HD Graph 620, 15.6"" LED FULL HD (1920x1080), WiFi,BT,Cam,LAN RJ45,DOS, Eng-Rus(*id 12) https://www.link.kg/catalog/1/41493293",*  28625.1 ⊆   *,317 $
" Ноутбук Acer Aspire Intel Core i3-1005G1 (1.20-3.40GHz), 4GB DDR4, 1TB HDD, Int VGA, 15.6""FHD LED, no DVDRW, WiFi, Bluetooth, DOS, Black [NX.KAGEM.004](*id 12) https://www.link.kg/catalog/1/41493290",*  28625.1 ⊆   *,317 $
" Lenovo IP3 i3-10110U 2.1-4.1GHz, 4GB, SSD 480GB, 15.6""FHD RUS, HDMI, ABYSS BLUE https://www.link.kg/catalog/1/41503195",*  28715.4 ⊆   *,318 $
" HP 250 G8 Black Intel Dual Core N4020 (up to 2.8Ghz), 8GB, 256GB SSD, Intel HD Graphics, 15.6"" LED HD, WiFi, BT, Cam, DOS, Eng-Rus https://www.link.kg/catalog/1/41374366",*  29347.5 ⊆   *,325 $
" Lenovo IP3 i3-10110U 2.1-4.1GHz, 8GB, 500GB, 15.6""FHD RUS, HDMI, BLACK https://www.link.kg/catalog/1/41503204",*  28896 ⊆   *,320 $
" HP 250 G8 Black Intel Dual Core N4020 (up to 2.8Ghz), 4GB, 1TB + 256GB SSD, Intel HD Graphics, 15.6"" LED HD, WiFi, BT, Cam, DOS, Eng-Rus https://www.link.kg/catalog/1/41374354",*  29528.1 ⊆   *,327 $
" Acer Aspire 3 A315 i3-1005G1 1.2-3.4GHz,8GB, SSD 256GB, 15.6""FHD,LAN,BLACK (12мес) https://www.link.kg/catalog/1/41503260",*  29257.2 ⊆   *,324 $
" Lenovo V15 i3-10110U 2.1-4.1 GHz,8GB,SSD 480GB,15.6""HD,RUS,DOS HDMI, IRON GRAY https://www.link.kg/catalog/1/41503170",*  29257.2 ⊆   *,324 $
" HP 240 G8 Black Intel Pentium Quad Core N5030 (up to 3.1Ghz), 4GB, 500GB + 128GB SSD, Intel HD Graphics, 14"" LED HD, WiFi, BT, Cam, DOS, Eng-Rus https://www.link.kg/catalog/1/41374333",*  29889.3 ⊆   *,331 $
" HP 240 G8 Black Intel Pentium Quad Core N5030 (up to 3.1Ghz), 8GB, 500GB, Intel HD Graphics, 14"" LED HD, WiFi, BT, Cam, DOS, Eng-Rus https://www.link.kg/catalog/1/41374344",*  29889.3 ⊆   *,331 $
" Lenovo Ideapad S145-15API Silver AMD 3020e (up to 2.6Ghz), 8GB, 1TB + 256GB SSD M.2 NVMe PCIe, AMD Radeon™ Graphics, 15.6"" LED, WiFi, BT, Cam, DOS, Eng-Rus https://www.link.kg/catalog/1/41374226",*  29979.6 ⊆   *,332 $
" Ноутбук ASUS-X515J, i3-1005G1, DDR4 4GB, 120Gb SSD, NO DVDRW, 15.6"", Rus+Eng https://www.link.kg/catalog/1/41483608",*  31424.4 ⊆   *,348 $
" HP 240 G8 Black Intel Pentium Quad Core N5030 (up to 3.1Ghz), 8GB, 1TB, Intel HD Graphics, 14"" LED HD, WiFi, BT, Cam, DOS, Eng-Rus https://www.link.kg/catalog/1/41374338",*  30069.9 ⊆   *,333 $
" Acer Aspire A315-35 Silver Intel N4500 (up to 2.8Ghz), 4GB, 256GB M.2 NVMe PCIe, Intel HD Graphics, 15.6"" LED FULL HD (1920x1080), WiFi, LAN RJ45, BT, Cam, DOS, Eng-Rus https://www.link.kg/catalog/1/41375132",*  30160.2 ⊆   *,334 $
" ПК - i5-10400, Gigabyte H470M K, DDR4 16GB (2x8GB), (3200MHz) Patriot Viper Steel CL16, ATX JUMP 3141-4JA, Aerocool Verkho 2, 500W Jump 80+ Bronze, SSD 240GB Kingston A400 SATAIII 2.5""(*id 12) https://www.link.kg/catalog/1/41492901",*  31605 ⊆   *,350 $
" HP 250 G8 Black Intel Dual Core N4020 (up to 2.8Ghz), 8GB, 500GB + 128GB SSD, Intel HD Graphics, 15.6"" LED HD, WiFi, BT, Cam, DOS, Eng-Rus https://www.link.kg/catalog/1/41374358",*  30250.5 ⊆   *,335 $
" Acer Aspire A315-35 Silver Intel N4500 (up to 2.8Ghz), 4GB, 1TB, Intel HD Graphics, 15.6"" LED FULL HD (1920x1080), WiFi, LAN RJ45, BT, Cam, DOS, Eng-Rus https://www.link.kg/catalog/1/41375127",*  30340.8 ⊆   *,336 $
" ASUS VivoBook X515FA-EJ186W 15.6"" FHD i3-10110U 2.1-4.1GHz,4GB,SSD 120GB,RUS,SLATE GRAY https://www.link.kg/catalog/1/41503161",*  29799 ⊆   *,330 $
" Ноутбук Lenovo Ideapad 3-15IML05 Intel Core i3-10110U (up to 4.1Ghz), 15.6"" FHD (1920х1080), 12GB, 500GB SSD, Integrated Intel® UHD Graphic, WiFi, BT 5.0, Cam, PLATINUM GRAY [81WB00YWUE](*id 12) https://www.link.kg/catalog/1/41493162",*  29889.3 ⊆   *,331 $
" Lenovo IdeaPad 3 15IGL05 (81WQ00JBRK) Intel Pentium N5030 (Quard 4 ядра, 4 потока up to 3.1Ghz), 15.6"" LED FULL HD (1920 x 1080) IPS, 8GB, 1TB + 512GB SSD SSD PCIe NVMe M.2, Intel HD Graphics 605, Wi-Fi, BT5.0, Cam, DOS, Eng-Rus, PLATINUM GREY https://www.link.kg/catalog/1/41488269",*  31424.4 ⊆   *,348 $
" LENOVO V15 G4 AMN (82YU0044UE) AMD Atlon Silver 7120U (up to 3.5Ghz), 15.6"" LED FULL HD (1920 x 1080), 8GB DDR5-4800Mhz, 1TB SSD PCIe NVMe M.2, AMD Radeon 610M Graphics, WiFi, BT 5.1, HD 720P Cam, LAN, RJ45, USB Type-C, замок Kensington, Eng-Rus DOS, https://www.link.kg/catalog/1/41488280",*  31514.7 ⊆   *,349 $
" Acer Aspire A315-34 Black Intel N4020 (up to 2.8Ghz), 8GB, 512GB M.2 NVMe PCIe, Intel HD Graphics, 15.6"" LED FULL HD (1920x1080), WiFi, LAN RJ45, BT, Cam, DOS, Eng-Rus https://www.link.kg/catalog/1/41375135",*  30702 ⊆   *,340 $
